transaction_id,date,product_id,store_id,customer_id,quantity,discount,returned
T0000001,2023-08-02,P004681,S004,C010043,3,0.0,0
T0000002,2020-08-16,P006662,S003,C022472,1,0.0,0
T0000003,2020-02-21,P043402,S005,C016135,4,0.0,0
T0000004,2024-02-27,P029875,S003,C005605,3,,1
T0000005,2021-07-17,P002476,S003,C005857,4,0.0,0
T0000006,2021-05-16,P029990,S005,C008363,3,0.1,0
T0000007,2021-04-02,P012742,S004,C009301,4,0.0,0
T0000008,2020-10-12,P013477,S003,C000971,1,0.2,0
T0000009,2024-02-17,P009924,S004,C009786,1,0.0,0
T0000010,2020-07-28,P017086,S002,C013109,4,0.0,1
T0000011,2023-10-17,P022378,S003,,3,0.1,0
T0000012,2024-02-25,P020432,S003,C015117,2,0.2,0
T0000013,2023-01-21,P039287,S004,C003825,1,0.0,0
T0000014,2020-06-27,P035161,S004,C000260,4,0.0,0
T0000015,2023-04-24,P004069,S003,C003101,2,0.1,0
T0000016,2022-05-14,P045344,S001,C013538,4,0.2,1
T0000017,2020-03-06,P023494,S002,C020786,4,0.0,0
T0000018,2020-03-02,P041609,S003,,1,,0
T0000019,2020-07-10,P041217,S004,,3,0.2,0
T0000020,2021-03-23,P027083,S002,C010490,3,0.0,0
T0000021,2021-04-21,P001095,S005,C015618,3,0.0,0
T0000022,2022-10-31,P038967,S004,C000704,1,0.1,0
T0000023,2023-05-17,P029378,S004,C014336,4,0.0,0
T0000024,2020-02-24,P034054,S001,C024799,1,0.0,0
T0000025,2023-02-23,P020684,S003,C006404,1,0.0,0
T0000026,2021-02-11,P009765,S002,C010101,1,0.0,1
T0000027,2024-01-06,P001916,S004,C024847,4,0.0,0
T0000028,2023-08-23,P004993,S002,C013077,3,0.0,0
T0000029,2023-12-07,P035487,S002,C002945,4,0.1,0
T0000030,2023-01-21,P025703,S005,C017670,2,0.0,1
T0000031,2022-05-09,P023373,S003,C014849,4,0.1,1
T0000032,2021-03-27,P024763,S001,C018314,1,0.3,0
T0000033,2022-07-08,P040513,S004,C021637,4,0.0,0
T0000034,2023-04-21,P023648,S004,C010896,1,0.1,0
T0000035,2021-07-23,P000480,S001,C001121,2,,0
T0000036,2024-07-15,P043501,S003,C014784,3,0.1,0
T0000037,2024-11-15,P005758,S001,C016638,3,0.0,0
T0000038,2020-01-14,P019343,S004,C018290,2,0.0,0
T0000039,2024-04-03,P002932,S003,C022632,1,0.0,0
T0000040,2024-07-08,P048802,S001,C014964,4,0.0,0
T0000041,2020-11-22,P011609,S002,C007200,3,0.0,0
T0000042,2023-11-30,P001126,S004,C021434,3,0.0,0
T0000043,2022-05-15,P001066,S005,C023088,1,0.0,0
T0000044,2021-11-27,P022170,S001,C024256,3,0.0,0
T0000045,2021-07-23,P021385,S005,C017185,3,0.0,0
T0000046,2020-11-14,P044712,S004,C000683,3,0.0,0
T0000047,2021-03-16,P025344,S003,C021202,1,0.0,0
T0000048,2024-04-12,P042729,S003,C015450,2,0.0,1
T0000049,2021-11-20,P025948,S005,C004385,3,0.1,0
T0000050,2020-07-28,P023585,S003,C005163,3,0.1,0
T0000051,2020-07-08,P023652,S001,C013359,4,0.1,0
T0000052,2022-02-17,P015414,S005,C005907,4,0.2,1
T0000053,2020-07-17,P043429,S001,C008620,2,0.0,0
T0000054,2022-01-05,P029008,S002,C018231,3,0.1,0
T0000055,2024-10-01,P016877,S004,C012894,2,0.2,0
T0000056,2021-12-05,P034375,S002,,2,0.1,0
T0000057,2023-05-21,P049276,S002,C009237,1,0.0,0
T0000058,2021-06-25,P005314,S005,C001836,1,0.3,0
T0000059,2024-07-10,P041745,S004,C018250,3,0.1,0
T0000060,2020-03-29,P016059,S002,C013209,2,0.1,0
T0000061,2024-02-03,P011135,S002,C010999,1,0.0,0
T0000062,2022-07-29,P017159,S004,C014217,3,0.2,0
T0000063,2023-01-03,P014455,S005,C016297,4,0.0,0
T0000064,2020-09-12,P026359,S003,C010093,1,0.0,0
T0000065,2022-02-14,P039116,S002,C000365,2,0.0,0
T0000066,2020-06-10,P021864,S004,C022174,2,0.3,0
T0000067,2023-02-04,P024326,S001,C024711,1,0.0,0
T0000068,2021-08-23,P040214,S004,C020319,1,0.0,0
T0000069,2024-08-25,P042994,S003,C005049,4,0.0,0
T0000070,2023-07-11,P039757,S001,C001909,3,0.2,0
T0000071,2023-06-20,P039162,S002,C023513,3,0.0,0
T0000072,2024-12-18,P016790,S999,,2,0.1,0
T0000073,2024-10-30,P011677,S001,C016524,2,0.0,0
T0000074,2022-01-10,P007205,S001,C021719,2,0.0,1
T0000075,2023-03-28,P000691,S002,C008004,2,0.0,0
T0000076,2021-01-28,P026583,S003,C020747,2,0.0,0
T0000077,2023-12-13,P021780,S004,C022485,3,0.0,0
T0000078,2020-05-22,P040809,S004,C010917,2,0.0,0
T0000079,2020-04-03,P001675,S005,C021940,1,0.0,1
T0000080,2023-09-16,P999999,S003,C020459,4,0.0,0
T0000081,2021-04-11,P045247,S003,C010681,4,0.2,0
T0000082,2024-05-02,P020829,S003,C000978,1,0.1,0
T0000083,2021-08-15,P019849,S005,C011508,3,0.2,0
T0000084,2020-06-12,P008143,S005,,1,0.3,0
T0000085,2024-10-17,P047287,S003,C019469,3,0.0,0
T0000086,2021-04-21,P010632,S001,C005579,3,0.0,0
T0000087,2024-11-09,P008812,S001,C019996,2,0.0,0
T0000088,2020-07-25,P005535,S002,C014899,3,0.1,0
T0000089,2022-02-17,P034298,S005,C002964,4,0.2,0
T0000090,2021-07-23,P001672,S005,C006813,1,0.1,0
T0000091,2022-07-17,P037515,S005,C006552,2,0.0,1
T0000092,2023-07-25,P045322,S001,C014137,3,0.0,0
T0000093,2024-09-04,P007935,S005,C000563,3,,0
T0000094,2022-01-17,P021739,S002,C013100,4,0.0,0
T0000095,2020-11-29,P015749,S002,C007400,1,0.0,0
T0000096,2022-01-28,P004624,S002,C022510,2,0.0,0
T0000097,2021-12-28,P047695,S002,C011695,4,0.0,0
T0000098,2021-03-05,P047438,S002,C000610,2,0.0,0
T0000099,2023-10-04,P018768,S001,C018143,4,0.0,0
T0000100,2021-06-30,P022424,S003,C004289,2,0.0,0
T0000101,2023-12-08,P010364,S005,C003700,4,0.0,0
T0000102,2023-10-31,P045999,S005,C013615,2,0.1,0
T0000103,2023-08-20,P000999,S001,C004769,2,0.0,0
T0000104,2020-05-26,P019694,S002,C011571,1,0.0,1
T0000105,2023-06-01,P005257,S003,C019243,2,0.2,0
T0000106,2023-07-24,P024551,S002,C013947,1,0.0,0
T0000107,2020-12-16,P005756,S004,C024139,3,0.1,0
T0000108,2022-12-29,P010074,S003,C016445,4,0.0,0
T0000109,2024-02-02,P007999,S004,C001867,2,0.0,0
T0000110,2021-05-16,P037676,S002,C009061,1,0.2,0
T0000111,2020-11-30,P011935,S005,C014408,1,0.0,0
T0000112,2022-08-04,P022733,S004,C001967,3,0.0,0
T0000113,2022-02-16,P011048,S999,C000513,3,0.1,0
T0000114,2021-07-06,P018064,S004,C014472,4,0.3,1
T0000115,2023-08-03,P000175,S001,C021497,4,,0
